Country,NtopDest,Nfeatures,Ntrain,Ntest,Nimputed,Ndropped,Modelled
AFG,10.0,20.0,231.0,50.0,147.0,29.0,True
AGO,10.0,20.0,223.0,50.0,164.0,27.0,True
BDI,10.0,20.0,193.0,50.0,143.0,27.0,True
BFA,,,,,,,0.0
BGD,10.0,16.0,212.0,50.0,140.0,48.0,True
CAF,10.0,16.0,149.0,50.0,124.0,41.0,True
CIV,10.0,15.0,153.0,10.0,96.0,67.0,True
CMR,10.0,15.0,115.0,50.0,75.0,35.0,True
COD,10.0,15.0,241.0,50.0,73.0,19.0,True
COG,10.0,15.0,116.0,40.0,65.0,44.0,True
COL,10.0,15.0,228.0,50.0,91.0,32.0,True
DJI,10.0,13.0,62.0,10.0,81.0,58.0,0.0
EGY,10.0,13.0,158.0,50.0,59.0,42.0,True
ERI,,,,,,,0.0
ETH,10.0,11.0,245.0,50.0,28.0,15.0,True
GIN,10.0,11.0,127.0,20.0,29.0,13.0,True
GTM,10.0,11.0,138.0,10.0,46.0,42.0,True
HND,10.0,11.0,86.0,20.0,28.0,14.0,0.0
HTI,,,,,,,0.0
IND,10.0,11.0,203.0,50.0,75.0,57.0,True
IRN,10.0,11.0,213.0,50.0,32.0,17.0,True
IRQ,10.0,11.0,248.0,50.0,28.0,12.0,True
KEN,10.0,11.0,205.0,50.0,74.0,55.0,True
LBN,10.0,11.0,183.0,40.0,44.0,37.0,True
LBR,10.0,11.0,135.0,10.0,23.0,15.0,True
LBY,,,,,,,0.0
MDG,,,,,,,0.0
MEX,10.0,11.0,118.0,50.0,112.0,92.0,True
MLI,10.0,11.0,135.0,50.0,65.0,45.0,True
MMR,10.0,11.0,222.0,50.0,57.0,38.0,True
MOZ,,,,,,,0.0
MRT,,,,,,,0.0
NER,10.0,11.0,86.0,50.0,96.0,74.0,0.0
NGA,10.0,11.0,188.0,50.0,79.0,62.0,True
NIC,,,,,,,0.0
NPL,10.0,11.0,110.0,10.0,100.0,90.0,True
PAK,10.0,11.0,206.0,50.0,71.0,54.0,True
PHL,9.0,11.0,152.0,45.0,100.0,82.0,True
SDN,10.0,11.0,230.0,50.0,106.0,30.0,True
SEN,10.0,11.0,168.0,10.0,70.0,62.0,True
SLE,,,,,,,0.0
SOM,10.0,11.0,253.0,50.0,21.0,7.0,True
SSD,,,,,,,0.0
SYR,,,,,,,0.0
TCD,10.0,9.0,214.0,50.0,31.0,16.0,True
TUR,10.0,9.0,225.0,50.0,53.0,35.0,True
TZA,,,,,,,0.0
UGA,10.0,9.0,192.0,40.0,43.0,28.0,True
YEM,10.0,9.0,97.0,50.0,17.0,3.0,0.0
ZWE,10.0,9.0,89.0,20.0,50.0,31.0,0.0
